log_text,location,category,severity,action_taken,date,"log_text,location,category,severity,action_taken,date"
Mechanical issue at Engineering Block: motor overheating.,Engineering Block,Mechanical,Medium,Reset control system,2024-03-16,
Mechanical issue at Cafeteria: motor overheating.,Cafeteria,Mechanical,Low,Replaced worn relay,2024-04-26,
Mechanical issue at Lecture Hall A: motor overheating.,Lecture Hall A,Mechanical,Medium,Lubricated moving parts,2024-05-26,
HVAC issue at Lecture Hall A: making loud noise.,Lecture Hall A,HVAC,Low,Cleaned air filters,2024-03-25,
Electrical issue at Admin Block: circuit breaker tripped.,Admin Block,Electrical,Low,Rewired loose connection,2024-06-12,
Plumbing issue at Main Library: sink clogged.,Main Library,Plumbing,Low,Sealed leaking joint,2024-05-28,
Mechanical issue at Main Library: unusual vibration.,Main Library,Mechanical,Low,Recalibrated motor,2024-06-04,
Electrical issue at Block B Stairwell: lights flickering.,Block B Stairwell,Electrical,High,Replaced fuse,2024-05-26,
HVAC issue at Sports Hall Court 1: emitting warm air.,Sports Hall Court 1,HVAC,High,Inspected ductwork,2024-04-03,
Network issue at Main Library: access point not responding.,Main Library,Network,High,Adjusted bandwidth settings,2024-06-10,
HVAC issue at Lecture Hall A: making loud noise.,Lecture Hall A,HVAC,Low,Replaced blower motor,2024-03-23,
Electrical issue at Cafeteria: power outage.,Cafeteria,Electrical,Medium,Rewired loose connection,2024-04-14,
Plumbing issue at Block B Stairwell: sink clogged.,Block B Stairwell,Plumbing,Medium,Replaced pipe section,2024-06-13,
HVAC issue at Lecture Hall A: emitting warm air.,Lecture Hall A,HVAC,Low,Calibrated thermostat,2024-06-09,
Network issue at Main Library: WiFi outage reported.,Main Library,Network,Medium,Restarted access point,2024-05-03,
Electrical issue at Sports Hall Court 2: lights not turning on.,Sports Hall Court 2,Electrical,High,Replaced fuse,2024-03-02,
Electrical issue at Block B Stairwell: circuit breaker tripped.,Block B Stairwell,Electrical,Low,Rewired loose connection,2024-03-12,
Plumbing issue at Cafeteria: sink clogged.,Cafeteria,Plumbing,High,Cleared blockage,2024-04-25,
Electrical issue at Sports Hall Court 2: circuit breaker tripped.,Sports Hall Court 2,Electrical,High,Inspected voltage supply,2024-06-14,
Network issue at Block C Restroom: WiFi connectivity slow.,Block C Restroom,Network,Medium,Updated firmware,2024-06-14,
Plumbing issue at Cafeteria: toilet overflow.,Cafeteria,Plumbing,Low,Adjusted water valve,2024-06-23,
Network issue at Main Library: WiFi outage reported.,Main Library,Network,Low,Updated firmware,2024-05-16,
Network issue at Block C Restroom: WiFi outage reported.,Block C Restroom,Network,Low,Reconfigured router,2024-03-27,
HVAC issue at Lecture Hall A: making loud noise.,Lecture Hall A,HVAC,Medium,Cleaned air filters,2024-03-23,
Network issue at Engineering Block: access point not responding.,Engineering Block,Network,High,Restarted access point,2024-05-09,
Electrical issue at Lecture Hall A: lights not turning on.,Lecture Hall A,Electrical,Low,Replaced fuse,2024-03-19,
Network issue at Sports Hall Court 1: WiFi outage reported.,Sports Hall Court 1,Network,Medium,Restarted access point,2024-04-18,
Plumbing issue at Block B Stairwell: toilet overflow.,Block B Stairwell,Plumbing,Medium,Adjusted water valve,2024-06-18,
Electrical issue at Engineering Block: circuit breaker tripped.,Engineering Block,Electrical,Low,Rewired loose connection,2024-03-16,
Network issue at Lecture Hall B: network latency high.,Lecture Hall B,Network,High,Updated firmware,2024-06-06,
Network issue at Cafeteria: WiFi outage reported.,Cafeteria,Network,Medium,Replaced faulty switch,2024-04-22,
Plumbing issue at Block C Restroom: slow drainage.,Block C Restroom,Plumbing,High,Sealed leaking joint,2024-06-13,
Network issue at Sports Hall Court 1: WiFi outage reported.,Sports Hall Court 1,Network,High,Replaced faulty switch,2024-04-12,
HVAC issue at Lecture Hall A: making loud noise.,Lecture Hall A,HVAC,Low,Inspected ductwork,2024-05-01,
Plumbing issue at Main Library: sink clogged.,Main Library,Plumbing,Medium,Adjusted water valve,2024-03-07,
Mechanical issue at Sports Hall Court 2: unusual vibration.,Sports Hall Court 2,Mechanical,Low,Reset control system,2024-04-07,
Plumbing issue at Main Library: slow drainage.,Main Library,Plumbing,Medium,Sealed leaking joint,2024-06-15,
HVAC issue at Engineering Block: emitting warm air.,Engineering Block,HVAC,High,Recharged refrigerant,2024-05-01,
Electrical issue at Main Library: circuit breaker tripped.,Main Library,Electrical,Low,Replaced ballast,2024-06-15,
Plumbing issue at Sports Hall Court 1: sink clogged.,Sports Hall Court 1,Plumbing,Low,Sealed leaking joint,2024-05-29,
Plumbing issue at Sports Hall Court 1: water leakage detected.,Sports Hall Court 1,Plumbing,Low,Cleared blockage,2024-06-17,
Plumbing issue at Lecture Hall A: slow drainage.,Lecture Hall A,Plumbing,High,Cleared blockage,2024-06-15,
HVAC issue at Cafeteria: not cooling properly.,Cafeteria,HVAC,High,Calibrated thermostat,2024-03-24,
HVAC issue at Lecture Hall A: temperature fluctuating.,Lecture Hall A,HVAC,Low,Inspected ductwork,2024-06-13,
HVAC issue at Admin Block: weak airflow.,Admin Block,HVAC,Low,Inspected ductwork,2024-06-07,
Network issue at Main Library: access point not responding.,Main Library,Network,Medium,Restarted access point,2024-03-08,
Network issue at Block C Restroom: network latency high.,Block C Restroom,Network,High,Replaced faulty switch,2024-06-06,
Electrical issue at Engineering Block: voltage instability.,Engineering Block,Electrical,Medium,Replaced fuse,2024-04-03,
Electrical issue at Sports Hall Court 2: circuit breaker tripped.,Sports Hall Court 2,Electrical,High,Inspected voltage supply,2024-06-23,
HVAC issue at Sports Hall Court 2: making loud noise.,Sports Hall Court 2,HVAC,Low,Replaced blower motor,2024-03-07,
HVAC issue at Lecture Hall A: temperature fluctuating.,Lecture Hall A,HVAC,Medium,Replaced blower motor,2024-03-13,
Plumbing issue at Lecture Hall A: slow drainage.,Lecture Hall A,Plumbing,Medium,Cleared blockage,2024-05-29,
Plumbing issue at Cafeteria: slow drainage.,Cafeteria,Plumbing,Low,Sealed leaking joint,2024-04-09,
HVAC issue at Lecture Hall A: weak airflow.,Lecture Hall A,HVAC,Low,Inspected ductwork,2024-04-08,
Electrical issue at Lecture Hall B: voltage instability.,Lecture Hall B,Electrical,Low,Replaced fuse,2024-04-01,
HVAC issue at Engineering Block: emitting warm air.,Engineering Block,HVAC,Medium,Inspected ductwork,2024-06-23,
Mechanical issue at Lecture Hall A: control panel unresponsive.,Lecture Hall A,Mechanical,High,Updated control firmware,2024-04-10,
Network issue at Main Library: WiFi connectivity slow.,Main Library,Network,Low,Adjusted bandwidth settings,2024-03-04,
Plumbing issue at Sports Hall Court 2: slow drainage.,Sports Hall Court 2,Plumbing,Medium,Cleaned drainage trap,2024-03-29,
HVAC issue at Engineering Block: not cooling properly.,Engineering Block,HVAC,High,Recharged refrigerant,2024-04-03,
Mechanical issue at Lecture Hall A: motor overheating.,Lecture Hall A,Mechanical,Low,Lubricated moving parts,2024-03-26,
Electrical issue at Sports Hall Court 2: circuit breaker tripped.,Sports Hall Court 2,Electrical,Medium,Replaced ballast,2024-05-08,
Plumbing issue at Block C Restroom: sink clogged.,Block C Restroom,Plumbing,Medium,Sealed leaking joint,2024-06-23,
HVAC issue at Lecture Hall A: weak airflow.,Lecture Hall A,HVAC,High,Cleaned air filters,2024-05-15,
HVAC issue at Engineering Block: emitting warm air.,Engineering Block,HVAC,Low,Cleaned air filters,2024-03-30,
Mechanical issue at Sports Hall Court 1: control panel unresponsive.,Sports Hall Court 1,Mechanical,Low,Replaced worn relay,2024-05-12,
Mechanical issue at Block B Stairwell: motor overheating.,Block B Stairwell,Mechanical,Low,Updated control firmware,2024-04-05,
HVAC issue at Sports Hall Court 1: not cooling properly.,Sports Hall Court 1,HVAC,Low,Calibrated thermostat,2024-03-18,
Plumbing issue at Sports Hall Court 2: toilet overflow.,Sports Hall Court 2,Plumbing,Medium,Cleared blockage,2024-03-23,
Network issue at Main Library: access point not responding.,Main Library,Network,High,Replaced faulty switch,2024-06-04,
Electrical issue at Sports Hall Court 1: lights flickering.,Sports Hall Court 1,Electrical,Medium,Replaced ballast,2024-05-08,
Mechanical issue at Block B Stairwell: motor overheating.,Block B Stairwell,Mechanical,Medium,Recalibrated motor,2024-04-01,
Plumbing issue at Sports Hall Court 1: water leakage detected.,Sports Hall Court 1,Plumbing,Medium,Adjusted water valve,2024-04-20,
HVAC issue at Lecture Hall A: not cooling properly.,Lecture Hall A,HVAC,High,Inspected ductwork,2024-06-07,
Mechanical issue at Block C Restroom: control panel unresponsive.,Block C Restroom,Mechanical,High,Lubricated moving parts,2024-04-21,
Electrical issue at Lecture Hall A: lights not turning on.,Lecture Hall A,Electrical,Low,Rewired loose connection,2024-03-24,
HVAC issue at Block B Stairwell: making loud noise.,Block B Stairwell,HVAC,Medium,Replaced blower motor,2024-04-25,
HVAC issue at Engineering Block: making loud noise.,Engineering Block,HVAC,Medium,Recharged refrigerant,2024-06-12,
Electrical issue at Sports Hall Court 2: circuit breaker tripped.,Sports Hall Court 2,Electrical,High,Inspected voltage supply,2024-05-30,
HVAC issue at Lecture Hall A: weak airflow.,Lecture Hall A,HVAC,Medium,Calibrated thermostat,2024-03-17,
Mechanical issue at Cafeteria: elevator stuck.,Cafeteria,Mechanical,High,Reset control system,2024-04-19,
Network issue at Main Library: WiFi connectivity slow.,Main Library,Network,High,Adjusted bandwidth settings,2024-04-23,
Plumbing issue at Engineering Block: pipe joint dripping.,Engineering Block,Plumbing,High,Sealed leaking joint,2024-03-26,
HVAC issue at Lecture Hall A: temperature fluctuating.,Lecture Hall A,HVAC,High,Inspected ductwork,2024-05-23,
Network issue at Sports Hall Court 2: WiFi connectivity slow.,Sports Hall Court 2,Network,Medium,Updated firmware,2024-03-14,
Network issue at Admin Block: WiFi outage reported.,Admin Block,Network,High,Restarted access point,2024-05-31,
Electrical issue at Lecture Hall A: lights not turning on.,Lecture Hall A,Electrical,High,Rewired loose connection,2024-06-14,
HVAC issue at Admin Block: temperature fluctuating.,Admin Block,HVAC,Low,Inspected ductwork,2024-04-16,
Network issue at Engineering Block: network latency high.,Engineering Block,Network,Low,Adjusted bandwidth settings,2024-06-23,
Mechanical issue at Main Library: door not closing properly.,Main Library,Mechanical,Low,Lubricated moving parts,2024-04-14,
Electrical issue at Block C Restroom: power outage.,Block C Restroom,Electrical,High,Reset circuit breaker,2024-03-26,
Network issue at Sports Hall Court 2: WiFi connectivity slow.,Sports Hall Court 2,Network,Medium,Restarted access point,2024-06-06,
Electrical issue at Sports Hall Court 2: circuit breaker tripped.,Sports Hall Court 2,Electrical,Medium,Inspected voltage supply,2024-04-09,
HVAC issue at Lecture Hall A: not cooling properly.,Lecture Hall A,HVAC,Medium,Inspected ductwork,2024-06-08,
Plumbing issue at Admin Block: slow drainage.,Admin Block,Plumbing,Medium,Sealed leaking joint,2024-03-10,
Network issue at Lecture Hall B: WiFi connectivity slow.,Lecture Hall B,Network,High,Replaced faulty switch,2024-04-30,
Electrical issue at Sports Hall Court 2: lights flickering.,Sports Hall Court 2,Electrical,Low,Inspected voltage supply,2024-06-25,
Mechanical issue at Sports Hall Court 1: door not closing properly.,Sports Hall Court 1,Mechanical,High,Recalibrated motor,2024-05-13,
Network issue at Block C Restroom: access point not responding.,Block C Restroom,Network,Low,Reconfigured router,2024-04-08,
Plumbing issue at Block B Stairwell: slow drainage.,Block B Stairwell,Plumbing,Medium,Cleared blockage,2024-06-29,
Electrical issue at Sports Hall Court 1: voltage instability.,Sports Hall Court 1,Electrical,High,Inspected voltage supply,2024-04-01,
HVAC issue at Main Library: emitting warm air.,Main Library,HVAC,Low,Replaced blower motor,2024-06-24,
HVAC issue at Sports Hall Court 2: making loud noise.,Sports Hall Court 2,HVAC,Medium,Replaced blower motor,2024-05-06,
HVAC issue at Lecture Hall A: not cooling properly.,Lecture Hall A,HVAC,High,Replaced blower motor,2024-05-02,
Electrical issue at Sports Hall Court 1: voltage instability.,Sports Hall Court 1,Electrical,Medium,Replaced ballast,2024-04-03,
Network issue at Main Library: access point not responding.,Main Library,Network,High,Replaced faulty switch,2024-03-19,
Electrical issue at Lecture Hall B: lights flickering.,Lecture Hall B,Electrical,Low,Rewired loose connection,2024-06-22,
Plumbing issue at Admin Block: slow drainage.,Admin Block,Plumbing,High,Sealed leaking joint,2024-04-16,
Electrical issue at Sports Hall Court 2: circuit breaker tripped.,Sports Hall Court 2,Electrical,Low,Replaced fuse,2024-03-15,
Mechanical issue at Main Library: unusual vibration.,Main Library,Mechanical,Low,Replaced worn relay,2024-06-20,
Electrical issue at Block C Restroom: circuit breaker tripped.,Block C Restroom,Electrical,Low,Replaced fuse,2024-05-11,
Mechanical issue at Lecture Hall A: unusual vibration.,Lecture Hall A,Mechanical,High,Replaced worn relay,2024-04-10,
Plumbing issue at Main Library: water leakage detected.,Main Library,Plumbing,Medium,Adjusted water valve,2024-06-09,
HVAC issue at Lecture Hall A: temperature fluctuating.,Lecture Hall A,HVAC,Medium,Calibrated thermostat,2024-04-21,
HVAC issue at Lecture Hall B: making loud noise.,Lecture Hall B,HVAC,Medium,Calibrated thermostat,2024-06-03,
Electrical issue at Admin Block: lights not turning on.,Admin Block,Electrical,Medium,Reset circuit breaker,2024-06-17,
Plumbing issue at Block B Stairwell: slow drainage.,Block B Stairwell,Plumbing,High,Adjusted water valve,2024-04-13,
Network issue at Main Library: access point not responding.,Main Library,Network,Medium,Reconfigured router,2024-04-25,
Network issue at Sports Hall Court 2: WiFi connectivity slow.,Sports Hall Court 2,Network,Medium,Updated firmware,2024-05-11,
Electrical issue at Engineering Block: voltage instability.,Engineering Block,Electrical,Medium,Replaced ballast,2024-05-22,
Mechanical issue at Lecture Hall A: door not closing properly.,Lecture Hall A,Mechanical,Medium,Recalibrated motor,2024-03-01,
HVAC issue at Admin Block: not cooling properly.,Admin Block,HVAC,Medium,Recharged refrigerant,2024-05-05,
HVAC issue at Block B Stairwell: making loud noise.,Block B Stairwell,HVAC,Low,Calibrated thermostat,2024-03-05,
HVAC issue at Lecture Hall A: weak airflow.,Lecture Hall A,HVAC,High,Calibrated thermostat,2024-06-06,
Network issue at Sports Hall Court 1: network latency high.,Sports Hall Court 1,Network,High,Updated firmware,2024-05-18,
Electrical issue at Admin Block: circuit breaker tripped.,Admin Block,Electrical,Medium,Reset circuit breaker,2024-04-22,
HVAC issue at Sports Hall Court 2: emitting warm air.,Sports Hall Court 2,HVAC,Medium,Cleaned air filters,2024-06-15,
Mechanical issue at Lecture Hall B: elevator stuck.,Lecture Hall B,Mechanical,Medium,Lubricated moving parts,2024-06-16,
Electrical issue at Cafeteria: circuit breaker tripped.,Cafeteria,Electrical,Medium,Rewired loose connection,2024-03-03,
Network issue at Main Library: WiFi connectivity slow.,Main Library,Network,Low,Reconfigured router,2024-03-21,
Network issue at Lecture Hall A: WiFi outage reported.,Lecture Hall A,Network,High,Updated firmware,2024-04-02,
Plumbing issue at Block B Stairwell: sink clogged.,Block B Stairwell,Plumbing,Low,Cleared blockage,2024-03-20,
HVAC issue at Engineering Block: temperature fluctuating.,Engineering Block,HVAC,Medium,Recharged refrigerant,2024-06-10,
HVAC issue at Lecture Hall A: not cooling properly.,Lecture Hall A,HVAC,High,Calibrated thermostat,2024-04-29,
Electrical issue at Admin Block: power outage.,Admin Block,Electrical,High,Inspected voltage supply,2024-06-04,
Plumbing issue at Block B Stairwell: pipe joint dripping.,Block B Stairwell,Plumbing,Medium,Adjusted water valve,2024-06-14,
HVAC issue at Admin Block: emitting warm air.,Admin Block,HVAC,High,Cleaned air filters,2024-03-08,
HVAC issue at Engineering Block: emitting warm air.,Engineering Block,HVAC,Low,Inspected ductwork,2024-05-12,
Electrical issue at Sports Hall Court 2: lights not turning on.,Sports Hall Court 2,Electrical,Low,Replaced ballast,2024-06-06,
Electrical issue at Cafeteria: lights flickering.,Cafeteria,Electrical,High,Replaced ballast,2024-06-06,
Electrical issue at Cafeteria: lights flickering.,Cafeteria,Electrical,Low,Replaced ballast,2024-03-25,
Network issue at Main Library: WiFi connectivity slow.,Main Library,Network,Medium,Restarted access point,2024-03-12,
Electrical issue at Block C Restroom: lights flickering.,Block C Restroom,Electrical,Low,Rewired loose connection,2024-06-29,
HVAC issue at Lecture Hall A: emitting warm air.,Lecture Hall A,HVAC,Low,Calibrated thermostat,2024-04-14,
Plumbing issue at Lecture Hall B: toilet overflow.,Lecture Hall B,Plumbing,Medium,Cleaned drainage trap,2024-04-08,
Electrical issue at Sports Hall Court 1: lights flickering.,Sports Hall Court 1,Electrical,Low,Replaced ballast,2024-04-05,
Plumbing issue at Block C Restroom: pipe joint dripping.,Block C Restroom,Plumbing,High,Adjusted water valve,2024-04-21,
Network issue at Sports Hall Court 2: network latency high.,Sports Hall Court 2,Network,Medium,Reconfigured router,2024-04-22,
Electrical issue at Cafeteria: lights flickering.,Cafeteria,Electrical,Medium,Rewired loose connection,2024-03-05,
Network issue at Block C Restroom: WiFi outage reported.,Block C Restroom,Network,Low,Restarted access point,2024-03-02,
Mechanical issue at Lecture Hall B: control panel unresponsive.,Lecture Hall B,Mechanical,Low,Recalibrated motor,2024-03-13,
HVAC issue at Sports Hall Court 1: temperature fluctuating.,Sports Hall Court 1,HVAC,Medium,Inspected ductwork,2024-03-25,
Plumbing issue at Cafeteria: slow drainage.,Cafeteria,Plumbing,Low,Adjusted water valve,2024-06-02,
HVAC issue at Lecture Hall A: not cooling properly.,Lecture Hall A,HVAC,Medium,Inspected ductwork,2024-04-13,
HVAC issue at Block C Restroom: weak airflow.,Block C Restroom,HVAC,High,Recharged refrigerant,2024-03-01,
Mechanical issue at Sports Hall Court 1: door not closing properly.,Sports Hall Court 1,Mechanical,Low,Recalibrated motor,2024-06-04,
HVAC issue at Main Library: making loud noise.,Main Library,HVAC,High,Recharged refrigerant,2024-04-15,
Electrical issue at Admin Block: voltage instability.,Admin Block,Electrical,High,Inspected voltage supply,2024-03-18,
Mechanical issue at Lecture Hall B: control panel unresponsive.,Lecture Hall B,Mechanical,Low,Updated control firmware,2024-04-30,
Mechanical issue at Sports Hall Court 1: door not closing properly.,Sports Hall Court 1,Mechanical,Low,Updated control firmware,2024-05-14,
Electrical issue at Cafeteria: lights flickering.,Cafeteria,Electrical,High,Inspected voltage supply,2024-04-10,
Electrical issue at Sports Hall Court 1: power outage.,Sports Hall Court 1,Electrical,Low,Reset circuit breaker,2024-03-13,
Plumbing issue at Block B Stairwell: toilet overflow.,Block B Stairwell,Plumbing,Medium,Sealed leaking joint,2024-06-02,
HVAC issue at Lecture Hall A: making loud noise.,Lecture Hall A,HVAC,Medium,Cleaned air filters,2024-04-19,
Mechanical issue at Block B Stairwell: motor overheating.,Block B Stairwell,Mechanical,High,Updated control firmware,2024-05-10,
Network issue at Main Library: network latency high.,Main Library,Network,Low,Replaced faulty switch,2024-04-11,
Network issue at Block C Restroom: WiFi connectivity slow.,Block C Restroom,Network,Low,Adjusted bandwidth settings,2024-04-04,
Mechanical issue at Cafeteria: motor overheating.,Cafeteria,Mechanical,Low,Recalibrated motor,2024-03-13,
Electrical issue at Sports Hall Court 2: lights not turning on.,Sports Hall Court 2,Electrical,High,Rewired loose connection,2024-03-22,
HVAC issue at Lecture Hall B: temperature fluctuating.,Lecture Hall B,HVAC,Medium,Calibrated thermostat,2024-05-25,
Electrical issue at Cafeteria: power outage.,Cafeteria,Electrical,Medium,Reset circuit breaker,2024-04-30,
Plumbing issue at Block B Stairwell: sink clogged.,Block B Stairwell,Plumbing,Medium,Cleaned drainage trap,2024-06-20,
Network issue at Block B Stairwell: WiFi outage reported.,Block B Stairwell,Network,Medium,Updated firmware,2024-06-14,
HVAC issue at Lecture Hall A: emitting warm air.,Lecture Hall A,HVAC,Low,Replaced blower motor,2024-05-06,
Network issue at Engineering Block: WiFi intermittent drop.,Engineering Block,Network,High,Updated firmware,2024-04-28,
Plumbing issue at Block C Restroom: toilet overflow.,Block C Restroom,Plumbing,High,Cleaned drainage trap,2024-03-16,
Mechanical issue at Engineering Block: motor overheating.,Engineering Block,Mechanical,Low,Recalibrated motor,2024-05-19,
Network issue at Main Library: access point not responding.,Main Library,Network,Low,Restarted access point,2024-06-17,
HVAC issue at Block B Stairwell: not cooling properly.,Block B Stairwell,HVAC,High,Recharged refrigerant,2024-05-15,
Electrical issue at Main Library: lights flickering.,Main Library,Electrical,Low,Replaced ballast,2024-03-11,
HVAC issue at Main Library: temperature fluctuating.,Main Library,HVAC,High,Calibrated thermostat,2024-04-10,
Network issue at Sports Hall Court 2: WiFi connectivity slow.,Sports Hall Court 2,Network,Medium,Replaced faulty switch,2024-03-12,
Mechanical issue at Sports Hall Court 2: motor overheating.,Sports Hall Court 2,Mechanical,Low,Lubricated moving parts,2024-03-26,
HVAC issue at Lecture Hall A: making loud noise.,Lecture Hall A,HVAC,Low,Inspected ductwork,2024-04-29,
Mechanical issue at Lecture Hall B: control panel unresponsive.,Lecture Hall B,Mechanical,High,Replaced worn relay,2024-05-15,
Mechanical issue at Main Library: control panel unresponsive.,Main Library,Mechanical,Medium,Lubricated moving parts,2024-05-02,
Mechanical issue at Sports Hall Court 1: unusual vibration.,Sports Hall Court 1,Mechanical,Medium,Replaced worn relay,2024-06-17,
Electrical issue at Admin Block: circuit breaker tripped.,Admin Block,Electrical,High,Rewired loose connection,2024-04-18,
Mechanical issue at Block B Stairwell: unusual vibration.,Block B Stairwell,Mechanical,High,Reset control system,2024-06-20,
Network issue at Main Library: network latency high.,Main Library,Network,Low,Updated firmware,2024-03-12,
Network issue at Block C Restroom: WiFi outage reported.,Block C Restroom,Network,High,Restarted access point,2024-04-01,
Network issue at Lecture Hall A: WiFi outage reported.,Lecture Hall A,Network,High,Updated firmware,2024-06-18,
Mechanical issue at Sports Hall Court 2: unusual vibration.,Sports Hall Court 2,Mechanical,Low,Updated control firmware,2024-05-09,
HVAC issue at Lecture Hall A: weak airflow.,Lecture Hall A,HVAC,Low,Recharged refrigerant,2024-06-22,
Electrical issue at Sports Hall Court 2: lights flickering.,Sports Hall Court 2,Electrical,Medium,Reset circuit breaker,2024-05-05,
Network issue at Lecture Hall B: network latency high.,Lecture Hall B,Network,Medium,Reconfigured router,2024-03-29,
Network issue at Sports Hall Court 2: WiFi connectivity slow.,Sports Hall Court 2,Network,Low,Updated firmware,2024-03-29,
Network issue at Admin Block: WiFi connectivity slow.,Admin Block,Network,Low,Replaced faulty switch,2024-05-29,
Electrical issue at Sports Hall Court 2: voltage instability.,Sports Hall Court 2,Electrical,Medium,Rewired loose connection,2024-05-20,
Plumbing issue at Cafeteria: water leakage detected.,Cafeteria,Plumbing,Medium,Cleared blockage,2024-03-01,
Mechanical issue at Lecture Hall A: control panel unresponsive.,Lecture Hall A,Mechanical,Medium,Lubricated moving parts,2024-04-15,
Network issue at Main Library: WiFi outage reported.,Main Library,Network,Medium,Reconfigured router,2024-03-28,
Plumbing issue at Engineering Block: pipe joint dripping.,Engineering Block,Plumbing,Low,Cleaned drainage trap,2024-03-05,
HVAC issue at Lecture Hall A: not cooling properly.,Lecture Hall A,HVAC,High,Replaced blower motor,2024-04-09,
Electrical issue at Sports Hall Court 2: power outage.,Sports Hall Court 2,Electrical,Low,Reset circuit breaker,2024-05-14,
Electrical issue at Sports Hall Court 1: circuit breaker tripped.,Sports Hall Court 1,Electrical,Low,Reset circuit breaker,2024-06-09,
Mechanical issue at Sports Hall Court 2: motor overheating.,Sports Hall Court 2,Mechanical,Medium,Lubricated moving parts,2024-04-17,
Plumbing issue at Block B Stairwell: toilet overflow.,Block B Stairwell,Plumbing,Low,Cleared blockage,2024-04-27,
Plumbing issue at Admin Block: water leakage detected.,Admin Block,Plumbing,Low,Cleaned drainage trap,2024-05-29,
Plumbing issue at Cafeteria: water leakage detected.,Cafeteria,Plumbing,Medium,Cleared blockage,2024-06-24,
Plumbing issue at Block C Restroom: slow drainage.,Block C Restroom,Plumbing,Low,Cleaned drainage trap,2024-05-09,
Electrical issue at Cafeteria: power outage.,Cafeteria,Electrical,High,Rewired loose connection,2024-04-17,
Network issue at Block C Restroom: access point not responding.,Block C Restroom,Network,High,Restarted access point,2024-05-08,
HVAC issue at Lecture Hall A: weak airflow.,Lecture Hall A,HVAC,High,Inspected ductwork,2024-03-31,
Electrical issue at Main Library: voltage instability.,Main Library,Electrical,Medium,Rewired loose connection,2024-05-21,
Plumbing issue at Sports Hall Court 1: toilet overflow.,Sports Hall Court 1,Plumbing,High,Cleaned drainage trap,2024-04-13,
Electrical issue at Main Library: power outage.,Main Library,Electrical,Low,Replaced ballast,2024-03-23,
Plumbing issue at Block B Stairwell: pipe joint dripping.,Block B Stairwell,Plumbing,Medium,Adjusted water valve,2024-05-03,
HVAC issue at Sports Hall Court 2: making loud noise.,Sports Hall Court 2,HVAC,Medium,Replaced blower motor,2024-06-04,
